# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
0,1653342654.9064438,0,-1.5569372177124023,11.95703125,0,0

1,1653342655.0882022,3200,-1.5569372177124023,11.95703125,1.4405182600021362,11.883890151977539

2,1653342656.4408224,6400,-1.064035177230835,30.841602325439453,1.4405182600021362,11.883890151977539

3,1653342656.5439787,9600,-1.064035177230835,30.841602325439453,1.0290416479110718,32.9290657043457

4,1653342657.8036008,12800,-1.064035177230835,30.841602325439453,0.8115620017051697,37.66438674926758

5,1653342658.058648,16000,-0.8526100516319275,37.77477264404297,0.8115620017051697,37.66438674926758

6,1653342659.2046657,19200,-0.8526100516319275,37.77477264404297,0.5794507265090942,31.756332397460938

7,1653342659.5882554,22400,-0.594689130783081,28.33633804321289,0.5794507265090942,31.756332397460938

8,1653342660.566654,25600,-0.594689130783081,28.33633804321289,0.46685728430747986,32.739227294921875

9,1653342661.1032448,28800,-0.5170012712478638,34.142852783203125,0.46685728430747986,32.739227294921875

10,1653342662.113471,32000,-0.5170012712478638,34.142852783203125,0.4980109930038452,32.078407287597656

11,1653342662.8754723,35200,-0.5188150405883789,27.778532028198242,0.4980109930038452,32.078407287597656

12,1653342663.7860854,38400,-0.5188150405883789,27.778532028198242,0.43836385011672974,36.129337310791016

13,1653342664.620222,41600,-0.45566752552986145,38.1954231262207,0.43836385011672974,36.129337310791016

14,1653342665.1962512,44800,-0.45566752552986145,38.1954231262207,0.37845706939697266,36.845035552978516

15,1653342666.1397393,48000,-0.3602135181427002,34.75829315185547,0.37845706939697266,36.845035552978516

16,1653342666.5818772,51200,-0.3602135181427002,34.75829315185547,0.3170849680900574,35.79942321777344

17,1653342667.8038316,54400,-0.31455305218696594,29.580581665039062,0.3170849680900574,35.79942321777344

18,1653342668.1370318,57600,-0.31455305218696594,29.580581665039062,0.2725619673728943,28.759414672851562

19,1653342669.2556002,60800,-0.26664695143699646,28.869155883789062,0.2725619673728943,28.759414672851562

20,1653342669.523512,64000,-0.26664695143699646,28.869155883789062,0.23588813841342926,31.676525115966797

21,1653342670.7500253,67200,-0.2571689784526825,24.222888946533203,0.23588813841342926,31.676525115966797

22,1653342670.9203799,70400,-0.2571689784526825,24.222888946533203,0.23059110343456268,23.50698471069336

23,1653342672.4248304,73600,-0.2571689784526825,24.222888946533203,0.18511302769184113,33.996665954589844

24,1653342672.4712338,76800,-0.21269945800304413,31.576765060424805,0.18511302769184113,33.996665954589844

25,1653342673.7343621,80000,-0.21269945800304413,31.576765060424805,0.21214057505130768,27.416053771972656

26,1653342674.0532515,83200,-0.23864565789699554,27.14154815673828,0.21214057505130768,27.416053771972656

27,1653342675.0628178,86400,-0.23864565789699554,27.14154815673828,0.21096965670585632,31.385452270507812

28,1653342675.4909456,89600,-0.23586709797382355,28.25833511352539,0.21096965670585632,31.385452270507812

29,1653342676.5617566,92800,-0.23586709797382355,28.25833511352539,0.22510306537151337,23.442543029785156

30,1653342676.961503,96000,-0.24772785604000092,19.637250900268555,0.22510306537151337,23.442543029785156

31,1653342678.074152,99200,-0.24772785604000092,19.637250900268555,0.2168114334344864,28.29644012451172

32,1653342678.5443084,102400,-0.22716917097568512,26.88614273071289,0.2168114334344864,28.29644012451172

33,1653342679.650634,105600,-0.22716917097568512,26.88614273071289,0.20411603152751923,26.326711654663086

34,1653342680.0938265,108800,-0.22323934733867645,21.34918785095215,0.20411603152751923,26.326711654663086

35,1653342681.1298656,112000,-0.22323934733867645,21.34918785095215,0.23330652713775635,21.712230682373047

36,1653342681.6109285,115200,-0.2568320631980896,20.290603637695312,0.23330652713775635,21.712230682373047

37,1653342682.4588108,118400,-0.2568320631980896,20.290603637695312,0.24923917651176453,24.097553253173828

38,1653342683.2041907,121600,-0.27646389603614807,20.956531524658203,0.24923917651176453,24.097553253173828

39,1653342684.061113,124800,-0.27646389603614807,20.956531524658203,0.2720518410205841,20.206954956054688

40,1653342684.6603746,128000,-0.2944757342338562,15.451276779174805,0.2720518410205841,20.206954956054688

41,1653342685.4841564,131200,-0.2944757342338562,15.451276779174805,0.285596638917923,16.596315383911133

42,1653342686.073299,134400,-0.3008921444416046,13.373059272766113,0.285596638917923,16.596315383911133

43,1653342687.0542784,137600,-0.3008921444416046,13.373059272766113,0.28172728419303894,11.595078468322754

44,1653342687.4390552,140800,-0.30030062794685364,6.1781415939331055,0.28172728419303894,11.595078468322754

45,1653342688.7138393,144000,-0.2926313877105713,2.210866928100586,0.28172728419303894,11.595078468322754

46,1653342688.8513443,147200,-0.2926313877105713,2.210866928100586,0.26962926983833313,3.9319567680358887

47,1653342690.0707664,150400,-0.2869377136230469,1.4744871854782104,0.26962926983833313,3.9319567680358887

48,1653342690.519903,153600,-0.2869377136230469,1.4744871854782104,0.2586742341518402,1.7102676630020142

49,1653342691.325609,156800,-0.28099703788757324,1.858184814453125,0.2586742341518402,1.7102676630020142

50,1653342692.1667047,160000,-0.28099703788757324,1.858184814453125,0.24534744024276733,2.5598437786102295

51,1653342692.6413214,163200,-0.2727878987789154,1.859650731086731,0.24534744024276733,2.5598437786102295

52,1653342693.8696117,166400,-0.2727878987789154,1.859650731086731,0.2374846339225769,1.770971417427063

53,1653342694.0539134,169600,-0.2691619098186493,1.3037643432617188,0.2374846339225769,1.770971417427063

54,1653342695.2525156,172800,-0.2649298310279846,1.9045593738555908,0.2374846339225769,1.770971417427063

55,1653342695.6241217,176000,-0.2649298310279846,1.9045593738555908,0.22716374695301056,2.304217576980591

