timestep,reward
192,-0.016
19392,0.5295
38592,0.652
57792,0.616
76992,0.56975
96192,0.6225
115392,0.596
134592,0.68425
153792,0.753
172992,0.7005
192192,0.7055
211392,0.766
230592,0.743
249792,0.76625
268992,0.75
288192,0.7255
307392,0.74725
326592,0.717
345792,0.80225
364992,0.80725
384192,0.79175
403392,0.74825
422592,0.80625
441792,0.854
460992,0.712
480192,0.74275
499392,0.7845
518592,0.78925
537792,0.79175
556992,0.88925
576192,0.7565
595392,0.80625
614592,0.84125
633792,0.79575
652992,0.80375
672192,0.77125
691392,0.77775
710592,0.82875
729792,0.7795
748992,0.75875
768192,0.73275
787392,0.8075
806592,0.77375
825792,0.722
844992,0.7885
864192,0.7375
883392,0.77175
902592,0.83075
921792,0.84175
940992,0.82675
