timestep,reward
6,0.349
6327,-0.20175
11605,0.49325
18069,0.88225
24980,0.98025
32292,0.956
39770,0.98275
47174,0.9185
54572,1.01775
61870,0.952
69271,0.94225
76677,0.8895
84118,0.85575
91732,0.94175
99143,0.926
106518,0.79125
114002,0.8795
121370,1.0065
129040,1.1255
136693,1.1305
144196,1.07875
151651,1.11775
159285,1.06475
166688,1.14625
174208,1.13975
181691,1.15725
189251,1.12775
196932,1.29075
204672,1.20275
212170,1.1295
219672,1.12125
227260,1.0645
234759,1.19075
242309,1.00475
249712,1.15775
257261,1.30775
264838,1.249
272359,1.246
279834,1.1065
287333,1.2725
294813,1.299
302311,1.321
309862,1.193
317368,1.33475
324796,1.148
332153,1.185
339572,1.17775
347065,1.221
354465,1.148
361846,1.18
369343,1.179
376846,1.4195
384496,1.07675
392007,1.12825
399554,1.37475
407076,1.39575
414750,1.2485
422438,1.28125
429944,1.1895
437631,1.29375
445105,1.2125
452623,1.29725
460148,1.2985
467627,1.3525
475268,1.3145
482869,1.398
490413,1.33975
497879,1.26225
505366,1.28775
512851,1.369
520493,1.434
528033,1.37475
535541,1.30225
543091,1.3465
550703,1.31625
558238,1.26775
565716,1.29275
573121,1.31625
580691,1.33425
588309,1.29575
595943,1.30875
603489,1.4195
610981,1.3275
618721,1.38375
626239,1.339
633899,1.298
641466,1.29
649134,1.4095
656720,1.35825
664345,1.2955
671825,1.45575
679444,1.267
687031,1.39075
694524,1.3075
701957,1.27625
709630,1.32525
717278,1.36375
724817,1.22725
732364,1.30075
739998,1.32475
747650,1.44775
755208,1.32675
762782,1.345
770218,1.44075
777774,1.259
785260,1.41775
792968,1.37375
800567,1.40325
808050,1.3045
815705,1.2755
823136,1.2625
830802,1.3625
838233,1.348
845903,1.3555
853343,1.31675
861084,1.2025
868602,1.4115
876260,1.491
883994,1.20525
891513,1.194
899144,1.32275
906748,1.4365
914312,1.243
921908,1.311
929534,1.457
937086,1.3485
944659,1.43
952265,1.4705
959834,1.28475
967390,1.31075
974944,1.288
982419,1.2755
990064,1.2555
997462,1.3465
1005000,1.355
1012417,1.313
1020183,1.33375
1027818,1.3305
1035336,1.2975
1042958,1.2435
1050496,1.352
1058190,1.343
1065768,1.23725
1073222,1.38125
1080832,1.3535
1088458,1.3665
1096051,1.403
1103781,1.36975
1111445,1.459
1118931,1.34075
