timestep,reward
0,-0.141
1280,-0.127
2594,-0.121
3869,-0.045
5168,0.034
6488,0.127
7857,-0.051
9112,-0.168
10466,-0.08
11744,0.049
13022,0.126
14303,0.239
15652,0.078
16911,0.139
18249,-0.105
19529,-0.054
20857,-0.109
22168,0.064
23420,-0.087
24719,-0.043
25938,-0.119
27212,0.024
28446,0.064
29689,-0.015
30942,-0.052
32252,0.009
33542,-0.093
34829,-0.151
36137,-0.005
37409,-0.016
38740,0.101
39998,-0.094
41266,0.047
42618,-0.157
43895,-0.021
45177,0.035
46439,0.013
47697,-0.115
49008,-0.18
50309,0.086
51542,0.058
52883,-0.043
54170,-0.008
55487,-0.082
56804,-0.097
58075,-0.119
59345,0.067
60650,0.038
61881,0.144
63182,0.109
64446,0.108
65670,-0.098
66913,-0.052
68185,-0.027
69477,-0.185
70767,0.093
72075,-0.059
73364,-0.029
74615,0.106
75845,0.052
77107,0.043
78416,-0.047
79709,-0.063
81014,-0.032
82284,0.075
83591,0.135
84892,0.067
86088,-0.095
87326,-0.183
88656,-0.011
89888,0.036
91190,-0.047
92497,0.085
93805,0.121
95072,-0.155
96333,-0.079
97593,-0.069
98870,0.131
100173,0.013
101415,0.033
102638,-0.042
103901,0.023
105162,-0.006
106496,0.002
107769,-0.09
109045,0.066
110319,-0.021
111603,0.125
112839,-0.026
114101,-0.013
115350,-0.013
116613,-0.094
117924,-0.007
119185,-0.009
120446,0.05
121683,-0.152
122950,-0.039
124214,-0.011
125509,-0.048
126835,-0.03
