timestep,reward
196,0.4855
26472,0.47575
52315,0.656
78422,0.7075
104843,0.92025
131182,0.786
157655,0.8905
184111,0.92925
210339,0.84725
237028,0.9
263463,1.11
290116,1.12675
316766,1.125
343476,1.04325
370110,1.12
396805,1.06175
423539,1.074
450170,1.02175
476836,1.2245
503546,1.0525
530211,1.183
556918,1.1545
583460,1.20925
610142,1.26925
636949,1.2595
663572,1.17475
690180,1.263
716853,1.17525
743654,1.266
770373,1.17675
797092,1.21075
823764,1.2535
850500,1.29025
877277,1.276
903894,1.3475
930606,1.25375
957419,1.2255
984111,1.298
1010779,1.143
1037554,1.1855
1064244,1.064
1090814,1.11125
1117396,1.049
1143996,1.10225
1170607,1.11
1197257,1.15325
1223988,1.0905
1250505,1.1875
1277265,1.3595
1304077,1.3225
