timestep,reward
193,-0.431
23405,0.5165
48936,1.0555
75631,0.99875
102433,1.10575
129211,0.96725
155946,1.05875
182496,1.2125
209192,1.085
235962,1.1565
262610,1.0985
289325,1.09725
315834,1.0125
342228,1.0415
368616,0.93775
395176,0.99525
421683,1.066
448080,0.9525
474566,0.9425
500918,1.008
527361,0.955
553791,1.00825
580270,1.056
606740,1.04075
633277,1.139
659898,0.979
686635,1.1635
713326,1.2145
739952,1.1835
766649,1.14825
793293,1.29875
820095,1.137
846840,1.14575
873257,1.23825
899992,1.2745
926814,1.26725
953634,1.27925
980365,1.157
1007075,1.09825
1033894,1.2345
1060734,1.16975
1087456,1.369
1114282,1.278
1141021,1.401
1167686,1.424
1194588,1.3535
1221561,1.12675
1248170,1.31325
1274988,1.28075
1301736,1.31025
